stock_code,stock_name
7192.KL,GOODWAY INTEGRATED INDUSTRIES
2135.KL,2135.KL
7096.KL,GPA HOLDINGS BHD
0082.KL,GREEN PACKET BHD
3263.KL,3263.KL
5649.KL,GOLDEN PHAROS BHD
2968.KL,GOLDEN PLUS HOLDINGS BHD
0045.KL,G NEPTUNE BERHAD
0056.KL,GRAND-FLO BERHAD
0136.KL,GREENYIELD BHD
7077.KL,GSB GROUP BHD
7022.KL,GLOBETRONICS TECHNOLOGY BHD
5102.KL,GUAN CHONG BHD
3247.KL,GUH HOLDINGS BHD
7676.KL,GUNUNG CAPITAL BERHAD
1503.KL,GUOCOLAND (MALAYSIA) BHD
7668.KL,HAI-O ENTERPRISE BHD
7110.KL,HAISAN RESOURCES BHD
5151.KL,HALEX HOLDINGS BERHAD
7253.KL,HANDAL RESOURCES BERHAD
3034.KL,HAP SENG CONSOLIDATED BHD
2062.KL,HARBOUR-LINK GROUP BHD
5008.KL,HARRISONS HOLDINGS (M) BHD
7501.KL,HARN LEN CORPORATION BHD
5168.KL,HARTALEGA HOLDINGS BHD
9342.KL,ANZO HOLDINGS BERHAD
6688.KL,6688.KL
0139.KL,0139.KL
5121.KL,HEKTAR REITS
7236.KL,7236.KL
5095.KL,HEVEABOARD BHD
7455.KL,7455.KL
3298.KL,HEXZA CORPORATION BHD
5072.KL,HIAP TECK VENTURE BHD
7033.KL,KUMPULAN H&L HIGH-TECH BHD
8443.KL,HIL INDUSTRIES BHD
7722.KL,ASIA BRANDS BERHAD
9644.KL,9644.KL
5819.KL,HONG LEONG BANK BHD
5274.KL,5274.KL
1082.KL,HONG LEONG FINANCIAL GROUP BHD
3301.KL,HONG LEONG INDUSTRIES BHD
7098.KL,7098.KL
5169.KL,HO HUP CONSTRUCTION COMPANY
5165.KL,HOCK HENG STONE INDUSTRIES BHD
5160.KL,HOMERITZ CORPORATION BERHAD
7010.KL,GRAND HOOVER BHD
7213.KL,HOVID BHD
7919.KL,7919.KL
6238.KL,HOCK SENG LEE BHD
5046.KL,5046.KL
5138.KL,HAP SENG PLANTATIONS HOLDINGS
5028.KL,HEITECH PADU BHD
2739.KL,SINO HUA-AN INTERNATIONAL BHD
7141.KL,HUAT LAI RESOURCES BHD
5062.KL,HUA YANG BHD
7013.KL,HUBLINE BHD
5018.KL,5018.KL
5024.KL,HUP SENG INDUSTRIES BHD
8478.KL,HWA TAI INDUSTRIES BHD
9601.KL,HO WAH GENTING BHD
5058.KL,5058.KL
4251.KL,I-BHD
5084.KL,IBRACO BHD
5108.KL,ICAPITAL.BIZ BHD
0003.KL,0003.KL
0023.KL,IFCA MSC BHD
1597.KL,IGB CORPORATION BHD
3336.KL,IJM CORPORATION BHD
5215.KL,5215.KL
2216.KL,IJM PLANTATIONS BHD
5614.KL,INTEGRATED LOGISTICS BHD
7222.KL,IMASPRO CORPORATION BHD
2607.KL,INCH KENNETH KAJANG RUBBER PLC
0024.KL,JAG BERHAD
0034.KL,MMAG HOLDINGS BERHAD
